letter,count_all,count_uppercase,percentage
a,17,1,3.1365313653136533
b,2,1,0.36900369003690037
c,2,0,0.36900369003690037
d,18,3,3.321033210332103
e,42,0,7.749077490774908
f,12,1,2.2140221402214024
g,6,0,1.1070110701107012
h,13,1,2.3985239852398523
i,33,4,6.088560885608856
j,0,0,0.0
k,4,0,0.7380073800738007
l,7,1,1.2915129151291513
m,12,0,2.2140221402214024
n,20,3,3.690036900369004
o,26,1,4.797047970479705
p,5,0,0.922509225092251
q,0,0,0.0
r,17,0,3.1365313653136533
s,33,0,6.088560885608856
t,41,1,7.564575645756458
u,6,0,1.1070110701107012
v,3,0,0.5535055350553506
w,8,0,1.4760147601476015
x,4,0,0.7380073800738007
y,9,0,1.6605166051660516
z,0,0,0.0
