letter,count_all,count_uppercase,percentage
a,1,0,1.075268817204301
b,0,0,0.0
c,2,1,2.150537634408602
d,2,1,2.150537634408602
e,7,0,7.526881720430108
f,1,0,1.075268817204301
g,0,0,0.0
h,1,0,1.075268817204301
i,3,1,3.225806451612903
j,0,0,0.0
k,0,0,0.0
l,0,0,0.0
m,0,0,0.0
n,6,2,6.451612903225806
o,2,0,2.150537634408602
p,1,0,1.075268817204301
q,0,0,0.0
r,0,0,0.0
s,4,0,4.301075268817204
t,6,0,6.451612903225806
u,1,0,1.075268817204301
v,0,0,0.0
w,4,0,4.301075268817204
x,0,0,0.0
y,4,0,4.301075268817204
z,0,0,0.0
