letter,count_all,count_uppercase,percentage
a,12,0,3.0303030303030303
b,3,3,0.7575757575757576
c,3,0,0.7575757575757576
d,9,3,2.272727272727273
e,24,0,6.0606060606060606
f,9,0,2.272727272727273
g,0,0,0.0
h,6,0,1.5151515151515151
i,18,6,4.545454545454546
j,0,0,0.0
k,3,0,0.7575757575757576
l,3,0,0.7575757575757576
m,3,0,0.7575757575757576
n,6,3,1.5151515151515151
o,15,0,3.787878787878788
p,3,0,0.7575757575757576
q,0,0,0.0
r,9,0,2.272727272727273
s,36,0,9.090909090909092
t,24,3,6.0606060606060606
u,6,0,1.5151515151515151
v,0,0,0.0
w,9,0,2.272727272727273
x,3,0,0.7575757575757576
y,6,0,1.5151515151515151
z,0,0,0.0
